รายรับ,,,,รายจ่าย,,,,,,,การลงทุน,,,
วันที่,ประเภทรายรับ,จำนวนเงิน,,วันที่,หมวดหมู่รายจ่าย,ประเภทรายจ่าย,ร้านค้า,ประเภทการจ่าย,จำนวนเงิน,,วันที่,ประเภทการลงทุน,แอปพลิเคชัน,จำนวนเงิน
1/5/2026,เงิน Part-time ร้านยา YA,฿765.00,,1/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินสด,฿29.00,,1/5/2026,หุ้นต่างประเทศ,Dime!,"฿7,060.07"
1/5/2026,เงิน กยศ,"฿3,000.00",,1/5/2026,เติมน้ำมัน,ใช้จ่ายทั่วไป,,เงินสด,฿140.00,,6/5/2026,หุ้นต่างประเทศ,Dime!,"฿2,500.00"
1/5/2026,เงินก่อนเรียนจบ,"฿1,154.05",,1/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿55.00,,13/5/2026,หุ้นต่างประเทศ,Dime!,"฿2,500.00"
2/5/2026,เงินจ้างทั่วไป,฿300.00,,2/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿28.00,,,,,
3/5/2026,เงิน Part-time ร้านยา YA,"฿1,700.00",,3/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿76.00,,,,,
7/5/2026,ค่า Youtube,฿120.00,,3/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿80.00,,,,,
11/5/2026,เงิน Part-time ร้านยา YA,"฿6,460.00",,4/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿28.00,,,,,
20/5/2026,เงิน Part-time ร้านยา YA,"฿10,540.00",,4/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿66.00,,,,,
,,,,4/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿47.00,,,,,
,,,,4/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿60.00,,,,,
,,,,5/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿248.00,,,,,
,,,,5/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿45.00,,,,,
,,,,5/5/2026,สุขภาพ,ใช้จ่ายทั่วไป,,เงินโอน,฿40.00,,,,,
,,,,5/5/2026,ให้ที่บ้าน,ใช้จ่ายทั่วไป,,เงินโอน,"฿1,000.00",,,,,
,,,,5/5/2026,ลงทุน,ใช้จ่ายทั่วไป,,เงินโอน,"฿2,500.00",,,,,
,,,,6/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿25.00,,,,,
,,,,6/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿109.00,,,,,
,,,,6/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿380.00,,,,,
,,,,7/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿56.00,,,,,
,,,,7/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿70.00,,,,,
,,,,7/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿221.00,,,,,
,,,,8/5/2026,เติมน้ำมัน,ใช้จ่ายทั่วไป,,เงินโอน,฿100.00,,,,,
,,,,8/5/2026,ช่วยงานสังคม (งานบุญ งานแต่ง),ใช้จ่ายทั่วไป,,เงินโอน,฿230.00,,,,,
,,,,9/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿89.00,,,,,
,,,,10/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿75.00,,,,,
,,,,11/5/2026,เติมน้ำมัน,ใช้จ่ายทั่วไป,,เงินโอน,฿100.00,,,,,
,,,,11/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿136.00,,,,,
,,,,12/5/2026,ให้ที่บ้าน,ใช้จ่ายทั่วไป,,เงินโอน,"฿1,000.00",,,,,
,,,,12/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿181.00,,,,,
,,,,12/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿70.00,,,,,
,,,,13/5/2026,ลงทุน,ใช้จ่ายทั่วไป,,เงินโอน,"฿2,500.00",,,,,
,,,,13/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿300.00,,,,,
,,,,13/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿100.00,,,,,
,,,,13/5/2026,บันเทิง,ใช้จ่ายทั่วไป,,เงินสด,฿149.00,,,,,
,,,,14/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,"฿1,500.00",,,,,
,,,,14/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿28.00,,,,,
,,,,15/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿68.00,,,,,
,,,,15/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿29.00,,,,,
,,,,15/5/2026,สุขภาพ,ใช้จ่ายทั่วไป,,เงินโอน,฿200.00,,,,,
,,,,16/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿10.00,,,,,
,,,,16/5/2026,เติมน้ำมัน,ใช้จ่ายทั่วไป,,เงินโอน,฿100.00,,,,,
,,,,16/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿60.00,,,,,
,,,,16/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿37.00,,,,,
,,,,16/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿60.00,,,,,
,,,,16/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿153.00,,,,,
,,,,16/5/2026,ซื้อของเข้าบ้าน,ใช้จ่ายทั่วไป,,เงินโอน,฿297.00,,,,,
,,,,17/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿28.00,,,,,
,,,,17/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿172.00,,,,,
,,,,18/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿240.00,,,,,
,,,,19/5/2026,บันเทิง,ใช้จ่ายประจำ,,เงินโอน,฿69.00,,,,,
,,,,19/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿10.00,,,,,
,,,,19/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินสด,฿79.29,,,,,
,,,,20/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿60.00,,,,,
,,,,20/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,"฿2,200.00",,,,,
,,,,20/5/2026,ให้ที่บ้าน,ใช้จ่ายทั่วไป,,เงินโอน,"฿1,000.00",,,,,
,,,,20/5/2026,ค่าไฟ,ใช้จ่ายทั่วไป,,เงินโอน,฿343.84,,,,,
,,,,20/5/2026,ค่าอาหาร,ใช้จ่ายทั่วไป,,เงินโอน,฿50.00,,,,,
,,,,21/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿790.00,,,,,
,,,,21/5/2026,ซื้อของทั่วไป,ใช้จ่ายทั่วไป,,เงินโอน,฿131.00,,,,,
